"Dist Code","Year","State Code","State Name","Dist Name","MARGINAL NUMBER (1000 Number)","MARGINAL AREA (1000 ha)","SMALL NUMBER (1000 Number)","SMALL AREA (1000 ha)","SEMI MEDIUM NUMBER (1000 Number)","SEMI MEDIUM AREA (1000 ha)","MEDIUM NUMBER (1000 Number)","MEDIUM AREA (1000 ha)","LARGE NUMBER (1000 Number)","LARGE AREA (1000 ha)","TOTAL NUMBER (1000 Number)","TOTAL AREA (1000 ha)"
"72","1990","5","Karnataka","Chitradurga","82.0","46.0","89.0","129.0","72.0","196.0","41.0","238.0","9.0","140.0","293.0","749.0"
"72","1995","5","Karnataka","Chitradurga","101.37","56.92","99.63","144.26","75.71","204.11","38.94","227.58","7.79","117.35","323.44","750.23"
"72","2000","5","Karnataka","Chitradurga","82.82","46.04","77.75","112.28","58.42","156.95","28.97","169.19","5.47","82.92","253.41","567.38"
"72","2005","5","Karnataka","Chitradurga","101.9","55.34","87.15","124.8","60.02","160.55","28.3","163.63","5.01","74.83","282.38","579.13"
"72","2010","5","Karnataka","Chitradurga","109.18","59.14","90.37","127.59","60.06","158.78","26.8","152.83","4.17","62.44","290.58","560.78"
"73","1990","5","Karnataka","Bellary","67.0","35.0","64.0","93.0","59.0","164.0","38.0","225.0","8.0","121.0","236.0","638.0"
"73","1995","5","Karnataka","Bellary","77.99","42.07","71.73","104.68","61.13","169.21","36.88","216.66","6.63","98.19","254.36","630.82"
"73","2000","5","Karnataka","Bellary","80.51","42.21","66.63","97.7","53.49","148.4","31.08","182.85","5.04","72.33","236.74","543.49"
"73","2005","5","Karnataka","Bellary","96.12","49.63","76.11","108.99","55.54","151.65","29.83","173.48","4.35","64.75","261.95","548.5"
"73","2010","5","Karnataka","Bellary","105.05","58.68","82.81","118.36","56.56","153.17","26.76","152.63","3.97","54.68","275.14","537.53"
"1012","2000","5","Karnataka","Davanagere","106.86","55.93","73.21","103.41","44.35","118.97","17.27","97.72","2.05","28.16","243.75","404.18"
"1012","2005","5","Karnataka","Davanagere","120.42","62.49","80.65","113.37","45.75","123.26","17.04","95.66","1.73","23.91","265.58","418.69"
"1012","2010","5","Karnataka","Davanagere","135.25","69.32","84.52","117.14","45.91","121.68","15.54","85.64","1.46","19.9","282.68","413.69"
"1013","1995","5","Karnataka","Gadag","72.14","43.17","140.28","208.89","0.0","0.0","0.0","0.0","11.42","159.75","223.84","411.81"
"1013","2000","5","Karnataka","Gadag","21.83","13.69","49.78","74.47","43.24","119.58","23.23","137.87","3.87","52.97","141.95","398.58"
"1013","2005","5","Karnataka","Gadag","27.62","16.63","52.62","77.56","43.36","119.67","22.11","129.99","3.26","44.18","148.97","388.01"
"1013","2010","5","Karnataka","Gadag","35.51","21.32","60.15","87.83","43.61","118.67","21.24","122.52","2.95","39.94","163.47","390.27"
"1014","2000","5","Karnataka","Haveri","57.98","32.33","71.43","103.18","46.26","124.92","16.49","94.23","1.91","27.15","194.08","381.8"
"1014","2005","5","Karnataka","Haveri","64.3","35.51","72.12","104.26","45.98","123.88","16.13","91.49","1.9","26.53","200.42","381.67"
"1014","2010","5","Karnataka","Haveri","78.0","42.78","80.35","114.39","43.91","117.02","14.54","81.39","1.56","21.35","218.35","376.92"
