District,Size Class,Number,Area,Area per farmer
Chitradurga,Marginal,109180.0,59140.0,0.5416742993222202
Chitradurga,Small,90370.0,127590.0,1.41186234369813
Chitradurga,Semi medium,60060.0,158780.0,2.6436896436896435
Chitradurga,Medium,26800.0,152830.0,5.702611940298508
Chitradurga,Large,4170.0,62440.0,14.973621103117505
Bellary,Marginal,105050.0,58680.0,0.5585911470728224
Bellary,Small,82810.0,118360.0,1.4292959787465283
Bellary,Semi medium,56560.0,153170.0,2.708097595473833
Bellary,Medium,26760.0,152630.0,5.703662182361734
Bellary,Large,3970.0,54680.0,13.773299748110832
Davanagere,Marginal,135250.0,69320.0,0.5125323475046211
Davanagere,Small,84520.0,117140.0,1.3859441552295315
Davanagere,Semi medium,45910.0,121680.0,2.6504029623175778
Davanagere,Medium,15540.0,85640.0,5.510939510939511
Davanagere,Large,1460.0,19900.0,13.63013698630137
Gadag,Marginal,35510.0,21320.0,0.6003942551393974
Gadag,Small,60150.0,87830.0,1.4601828761429758
Gadag,Semi medium,43610.0,118670.0,2.721164870442559
Gadag,Medium,21240.0,122520.0,5.768361581920904
Gadag,Large,2950.0,39940.0,13.538983050847458
Haveri,Marginal,78000.0,42780.0,0.5484615384615384
Haveri,Small,80350.0,114390.0,1.4236465463596764
Haveri,Semi medium,43910.0,117020.0,2.664996583921658
Haveri,Medium,14540.0,81390.0,5.5976616231086656
Haveri,Large,1560.0,21350.0,13.685897435897436
