HH_ID	STATE	HR	DISTRICT	REGION_TYPE	STRATUM	PSU_ID	MONTH_SLOT	MONTH	RESPONSE_STATUS	REASON_FOR_NON_RESPONSE	HH_WEIGHT_MS	HH_WEIGHT_FOR_COUNTRY_MS	HH_WEIGHT_FOR_STATE_MS	HH_NON_RESPONSE_MS	HH_NON_RESPONSE_FOR_COUNTRY_MS	HH_NON_RESPONSE_FOR_STATE_MS	AGE_GROUP	OCCUPATION_GROUP	EDUCATION_GROUP	GENDER_GROUP	SIZE_GROUP	TOTAL_INCOME	INCOME_OF_ALL_MEMBERS_FROM_ALL_SOURCES	INCOME_OF_ALL_MEMBERS_FROM_WAGES	INCOME_OF_HOUSEHOLD_FROM_ALL_SOURCES	INCOME_OF_HOUSEHOLD_FROM_RENT	INCOME_OF_HOUSEHOLD_FROM_SELF_PRODUCTION	INCOME_OF_HOUSEHOLD_FROM_PRIVATE_TRANSFERS	INCOME_OF_HOUSEHOLD_FROM_BUSINESS_PROFIT
94762800	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2014	Jan 2014	Accepted	No Failure	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Grown-up - dominant	Organised Farmers	Households of all illiterates	Female Majority	3 Members	6500	2500	2500	4000	0	0	0	4000
64280047	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2014	Jan 2014	Accepted	No Failure	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Grown-up - dominant	Agricultural Labourers	Households of all illiterates	Balanced	2 Members	4000	4000	4000	0	0	0	0	0
79586257	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2014	Jan 2014	Accepted	No Failure	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Others households of Grown-ups	Agricultural Labourers	Graduates minority household	Male Dominated	4 Members	12400	12400	12400	0	0	0	0	0
73429517	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2014	Jan 2014	Accepted	No Failure	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Other households of the Young	Agricultural Labourers	Matriculates minority household	Male Majority	7 Members	17100	17100	17100	0	0	0	0	0
31941083	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2014	Jan 2014	Accepted	No Failure	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Balanced households with no Seniors	Agricultural Labourers	Graduates minority household	Male Dominated	4 Members	15000	15000	15000	0	0	0	0	0
15406947	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2014	Jan 2014	Accepted	No Failure	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Balanced households with Seniors	Organised Farmers	Matriculates majority household	Balanced	6 Members	1800	1800	1800	0	0	0	0	0
73601371	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2014	Jan 2014	Accepted	No Failure	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Balanced households with no Seniors	Small/Marginal Farmers	Matriculates majority household	Male Dominated	4 Members	4000	4000	4000	0	0	0	0	0
18673149	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2014	Jan 2014	Accepted	No Failure	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Other households of the Young	Small/Marginal Farmers	Households of some literates	Female Majority	5 Members	8400	8400	8400	0	0	0	0	0
60248833	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2014	Jan 2014	Accepted	No Failure	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Balanced households with no Seniors	Agricultural Labourers	Households of some literates	Balanced	4 Members	5500	5500	5500	0	0	0	0	0
53631934	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2014	Jan 2014	Accepted	No Failure	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Others households of Grown-ups	Agricultural Labourers	Households of some literates	Male Dominated	7 Members	20500	20500	20500	0	0	0	0	0
62962649	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2014	Jan 2014	Accepted	No Failure	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Balanced households with no Seniors	Support Staff	Matriculates majority household	Balanced	4 Members	1000	1000	1000	0	0	0	0	0
84349837	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2014	Jan 2014	Accepted	No Failure	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Others households of Grown-ups	Organised Farmers	Households of some literates	Male Majority	5 Members	8000	3000	3000	5000	0	0	0	5000
14846617	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2014	Jan 2014	Accepted	No Failure	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Grown-up - dominant	Small/Marginal Farmers	Matriculates majority household	Male Majority	3 Members	3700	3700	3700	0	0	0	0	0
78248210	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2014	Jan 2014	Accepted	No Failure	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Balanced households with no Seniors	Small/Marginal Farmers	Households of some literates	Balanced	4 Members	2500	2500	2500	0	0	0	0	0
78111630	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2014	Jan 2014	Accepted	No Failure	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Other households of the Young	Organised Farmers	Matriculates majority household	Female Dominated	5 Members	0	0	0	0	0	0	0	0
53529270	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2014	Jan 2014	Accepted	No Failure	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Grown-up - dominant	Small/Marginal Farmers	Households of all literates	Only Males	1 Member	3000	3000	3000	0	0	0	0	0
