HH_ID	STATE	HR	DISTRICT	REGION_TYPE	STRATUM	PSU_ID	MONTH_SLOT	MONTH	RESPONSE_STATUS	REASON_FOR_NON_RESPONSE	HH_WEIGHT_MS	HH_WEIGHT_FOR_COUNTRY_MS	HH_WEIGHT_FOR_STATE_MS	HH_NON_RESPONSE_MS	HH_NON_RESPONSE_FOR_COUNTRY_MS	HH_NON_RESPONSE_FOR_STATE_MS	AGE_GROUP	OCCUPATION_GROUP	EDUCATION_GROUP	GENDER_GROUP	SIZE_GROUP	TOTAL_INCOME	INCOME_OF_ALL_MEMBERS_FROM_ALL_SOURCES	INCOME_OF_ALL_MEMBERS_FROM_WAGES	INCOME_OF_ALL_MEMBERS_FROM_PENSION	INCOME_OF_ALL_MEMBERS_FROM_DIVIDEND	INCOME_OF_ALL_MEMBERS_FROM_INTEREST	INCOME_OF_HOUSEHOLD_FROM_ALL_SOURCES	INCOME_OF_HOUSEHOLD_FROM_RENT	INCOME_OF_HOUSEHOLD_FROM_SELF_PRODUCTION	INCOME_OF_HOUSEHOLD_FROM_PRIVATE_TRANSFERS	INCOME_OF_HOUSEHOLD_FROM_GOVERNMENT_TRANSFERS	INCOME_OF_HOUSEHOLD_FROM_BUSINESS_PROFIT	INCOME_OF_HOUSEHOLD_FROM_SALE_OF_ASSET	INCOME_OF_HOUSEHOLD_FROM_GAMBLING
94762800	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Feb 2015	Jan 2015	Accepted	No Failure	5342.947243	5342.947243	5342.947243	1.219144	1.219144	1.219144	Grown-up - dominant	Agricultural Labourers	Households of some literates	Female Majority	3 Members	4750	4500	4500	0	0	0	250	0	250	0	0	0	0	0
64280047	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Feb 2015	Jan 2015	Accepted	No Failure	5342.947243	5342.947243	5342.947243	1.219144	1.219144	1.219144	Others households of Grown-ups	Small/Marginal Farmers	Households of some literates	Balanced	4 Members	7500	7500	7500	0	0	0	0	0	0	0	0	0	0	0
79586257	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Feb 2015	Jan 2015	Accepted	No Failure	5342.947243	5342.947243	5342.947243	1.219144	1.219144	1.219144	Others households of Grown-ups	Agricultural Labourers	Graduates minority household	Male Dominated	4 Members	12000	12000	12000	0	0	0	0	0	0	0	0	0	0	0
73429517	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Feb 2015	Jan 2015	Accepted	No Failure	5342.947243	5342.947243	5342.947243	1.219144	1.219144	1.219144	Other households of the Young	Small/Marginal Farmers	Matriculates minority household	Male Majority	7 Members	11250	10500	10500	0	0	0	750	0	750	0	0	0	0	0
31941083	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Feb 2015	Jan 2015	Accepted	No Failure	5342.947243	5342.947243	5342.947243	1.219144	1.219144	1.219144	Grown-up - dominant	White-collar Professional Employees	Graduates minority household	Male Dominated	4 Members	11500	11000	11000	0	0	0	500	0	500	0	0	0	0	0
15406947	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Feb 2015	Jan 2015	Accepted	No Failure	5342.947243	5342.947243	5342.947243	1.219144	1.219144	1.219144	Balanced households with Seniors	Agricultural Labourers	Graduates minority household	Balanced	6 Members	11500	11500	11500	0	0	0	0	0	0	0	0	0	0	0
73601371	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Feb 2015	Jan 2015	Accepted	No Failure	5342.947243	5342.947243	5342.947243	1.219144	1.219144	1.219144	Balanced households with no Seniors	Small/Marginal Farmers	Matriculates majority household	Male Dominated	4 Members	5500	5000	5000	0	0	0	500	0	500	0	0	0	0	0
18673149	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Feb 2015	Jan 2015	Accepted	No Failure	5342.947243	5342.947243	5342.947243	1.219144	1.219144	1.219144	Other households of the Young	Agricultural Labourers	Households of some literates	Female Majority	5 Members	6500	6500	6500	0	0	0	0	0	0	0	0	0	0	0
60248833	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Feb 2015	Jan 2015	Accepted	No Failure	5342.947243	5342.947243	5342.947243	1.219144	1.219144	1.219144	Balanced households with no Seniors	Small/Marginal Farmers	Households of some literates	Balanced	4 Members	5500	5000	5000	0	0	0	500	0	500	0	0	0	0	0
53631934	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Feb 2015	Jan 2015	Accepted	No Failure	5342.947243	5342.947243	5342.947243	1.219144	1.219144	1.219144	Others households of Grown-ups	Agricultural Labourers	Households of some literates	Male Dominated	7 Members	12500	12500	12500	0	0	0	0	0	0	0	0	0	0	0
62962649	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Feb 2015	Jan 2015	Accepted	No Failure	5342.947243	5342.947243	5342.947243	1.219144	1.219144	1.219144	Balanced households with no Seniors	Small/Marginal Farmers	Households of all illiterates	Balanced	4 Members	5500	5000	5000	0	0	0	500	0	500	0	0	0	0	0
84349837	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Feb 2015	Jan 2015	Accepted	No Failure	5342.947243	5342.947243	5342.947243	1.219144	1.219144	1.219144	Balanced households with no Seniors	Agricultural Labourers	Households of all literates	Balanced	4 Members	8000	8000	8000	0	0	0	0	0	0	0	0	0	0	0
14846617	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Feb 2015	Jan 2015	Accepted	No Failure	5342.947243	5342.947243	5342.947243	1.219144	1.219144	1.219144	Balanced households with no Seniors	Agricultural Labourers	Matriculates majority household	Male Dominated	4 Members	9500	9500	9500	0	0	0	0	0	0	0	0	0	0	0
78248210	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Feb 2015	Jan 2015	Accepted	No Failure	5342.947243	5342.947243	5342.947243	1.219144	1.219144	1.219144	Balanced households with no Seniors	Small/Marginal Farmers	Matriculates majority household	Balanced	4 Members	6000	6000	6000	0	0	0	0	0	0	0	0	0	0	0
78111630	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Feb 2015	Jan 2015	Accepted	No Failure	5342.947243	5342.947243	5342.947243	1.219144	1.219144	1.219144	Other households of the Young	Small/Marginal Farmers	Matriculates majority household	Female Dominated	5 Members	6000	5500	5500	0	0	0	500	0	500	0	0	0	0	0
53529270	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Feb 2015	Jan 2015	Non-Response	Could not be executed	5342.947243	5342.947243	5342.947243	1.219144	1.219144	1.219144	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
