HH_ID	STATE	HR	DISTRICT	REGION_TYPE	STRATUM	PSU_ID	MONTH_SLOT	MONTH	RESPONSE_STATUS	REASON_FOR_NON_RESPONSE	FAMILY_SHIFTED	HH_WEIGHT_MS	HH_WEIGHT_FOR_COUNTRY_MS	HH_WEIGHT_FOR_STATE_MS	HH_NON_RESPONSE_MS	HH_NON_RESPONSE_FOR_COUNTRY_MS	HH_NON_RESPONSE_FOR_STATE_MS	AGE_GROUP	OCCUPATION_GROUP	EDUCATION_GROUP	GENDER_GROUP	SIZE_GROUP	TOTAL_INCOME	INCOME_OF_ALL_MEMBERS_FROM_ALL_SOURCES	INCOME_OF_ALL_MEMBERS_FROM_WAGES	INCOME_OF_ALL_MEMBERS_FROM_PENSION	INCOME_OF_ALL_MEMBERS_FROM_DIVIDEND	INCOME_OF_ALL_MEMBERS_FROM_INTEREST	INCOME_OF_ALL_MEMBERS_FROM_FD_PF_INSURANCE	INCOME_OF_HOUSEHOLD_FROM_ALL_SOURCES	INCOME_OF_HOUSEHOLD_FROM_RENT	INCOME_OF_HOUSEHOLD_FROM_SELF_PRODUCTION	INCOME_OF_HOUSEHOLD_FROM_PRIVATE_TRANSFERS	INCOME_OF_HOUSEHOLD_FROM_GOVERNMENT_TRANSFERS	INCOME_OF_HOUSEHOLD_FROM_IN_KIND_TRANSFERS_FROM_GOVERNMENT	INCOME_OF_HOUSEHOLD_FROM_IN_KIND_TRANSFERS_FROM_NGO	INCOME_OF_HOUSEHOLD_FROM_BUSINESS_PROFIT	INCOME_OF_HOUSEHOLD_FROM_SALE_OF_ASSET	INCOME_OF_HOUSEHOLD_FROM_GAMBLING
94762800	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Grown-up - dominant	Organised Farmers	Matriculates majority household	Balanced	2 Members	24000	0	0	0	0	0	0	24000	0	0	0	0	0	0	24000	0	0
64280047	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Grown-up - dominant	Retired/Aged	Matriculates minority household	Balanced	4 Members	18600	17000	17000	0	0	0	0	1600	0	0	0	1600	0	0	0	0	0
79586257	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Grown-up - dominant	Self-employed Entrepreneurs	Matriculates majority household	Male Dominated	4 Members	31800	31000	31000	0	0	0	0	800	0	0	0	800	0	0	0	0	0
73429517	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Grown-up - dominant	Wage Labourers	Households of all literates	Female Majority	3 Members	12000	12000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31941083	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Grown-up - dominant	Industrial Workers	Graduates minority household	Male Dominated	4 Members	38500	25000	25000	0	0	0	0	13500	0	0	0	0	0	0	13500	0	0
15406947	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Others households of Grown-ups	Self-employed Entrepreneurs	Matriculates majority household	Balanced	2 Members	17800	17000	17000	0	0	0	0	800	0	0	0	800	0	0	0	0	0
73601371	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Balanced households with no Seniors	Organised Farmers	Matriculates majority household	Male Dominated	4 Members	15000	0	0	0	0	0	0	15000	0	0	0	0	0	0	15000	0	0
18673149	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jan 2022	Sep 2021	Non-Response	Refused	Data Not Available	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
60248833	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Balanced households with no Seniors	Agricultural Labourers	Households of all literates	Balanced	4 Members	13000	13000	13000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53631934	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Youngsters - dominant	Organised Farmers	Matriculates majority household	Male Majority	6 Members	27000	0	0	0	0	0	0	27000	0	0	0	0	0	0	27000	0	0
