"Dist Code","Year","State Code","State Name","Dist Name","ANNUAL RAINFALL (Millimeters)"
"64","2012","5","Karnataka","Bangalore","601.5"
"64","2013","5","Karnataka","Bangalore","834.9"
"64","2014","5","Karnataka","Bangalore","900.4"
"64","2015","5","Karnataka","Bangalore","1088.5"
"65","1966","5","Karnataka","Kolar","852.2"
"65","1967","5","Karnataka","Kolar","513.6"
"65","1968","5","Karnataka","Kolar","502.2"
"65","1969","5","Karnataka","Kolar","693.4"
"65","1970","5","Karnataka","Kolar","586.7"
"65","1971","5","Karnataka","Kolar","536.0"
"65","1972","5","Karnataka","Kolar","677.4"
"65","1973","5","Karnataka","Kolar","683.9"
"65","1974","5","Karnataka","Kolar","728.4"
"65","1975","5","Karnataka","Kolar","833.5"
"65","1976","5","Karnataka","Kolar","488.1"
"65","1977","5","Karnataka","Kolar","800.2"
"65","1978","5","Karnataka","Kolar","650.2"
"65","1979","5","Karnataka","Kolar","792.2"
"65","1980","5","Karnataka","Kolar","461.2"
"65","1981","5","Karnataka","Kolar","807.1"
"65","1982","5","Karnataka","Kolar","511.5"
"65","1983","5","Karnataka","Kolar","611.4"
"65","1984","5","Karnataka","Kolar","638.9"
"65","1985","5","Karnataka","Kolar","475.7"
"65","1986","5","Karnataka","Kolar","667.8"
"65","1987","5","Karnataka","Kolar","586.7"
"65","1988","5","Karnataka","Kolar","680.2"
"65","1989","5","Karnataka","Kolar","556.1"
"65","1990","5","Karnataka","Kolar","633.0"
"65","1991","5","Karnataka","Kolar","1028.0"
"65","1992","5","Karnataka","Kolar","730.0"
"65","1993","5","Karnataka","Kolar","857.9"
"65","1994","5","Karnataka","Kolar","646.7"
"65","1995","5","Karnataka","Kolar","645.0"
"65","1996","5","Karnataka","Kolar","834.0"
"65","1997","5","Karnataka","Kolar","631.0"
"65","1998","5","Karnataka","Kolar","776.0"
"65","1999","5","Karnataka","Kolar","573.0"
"65","2000","5","Karnataka","Kolar","788.0"
"65","2001","5","Karnataka","Kolar","802.0"
"65","2002","5","Karnataka","Kolar","478.0"
"65","2003","5","Karnataka","Kolar","577.0"
"65","2004","5","Karnataka","Kolar","771.0"
"65","2005","5","Karnataka","Kolar","1199.0"
"65","2006","5","Karnataka","Kolar","594.0"
"65","2007","5","Karnataka","Kolar","840.0"
"65","2008","5","Karnataka","Kolar","632.0"
"65","2009","5","Karnataka","Kolar","570.5"
"65","2010","5","Karnataka","Kolar","806.0"
"65","2011","5","Karnataka","Kolar","643.0"
"65","2012","5","Karnataka","Kolar","717.8"
"65","2013","5","Karnataka","Kolar","663.8"
"65","2014","5","Karnataka","Kolar","518.0"
"65","2015","5","Karnataka","Kolar","1083.8"
"66","1966","5","Karnataka","Tumkur","685.7"
"66","1967","5","Karnataka","Tumkur","370.0"
"66","1968","5","Karnataka","Tumkur","537.0"
"66","1969","5","Karnataka","Tumkur","529.2"
"66","1970","5","Karnataka","Tumkur","552.8"
"66","1971","5","Karnataka","Tumkur","633.9"
"66","1972","5","Karnataka","Tumkur","697.5"
"66","1973","5","Karnataka","Tumkur","688.4"
"66","1974","5","Karnataka","Tumkur","756.9"
"66","1975","5","Karnataka","Tumkur","936.8"
"66","1976","5","Karnataka","Tumkur","351.8"
"66","1977","5","Karnataka","Tumkur","846.7"
"66","1978","5","Karnataka","Tumkur","618.5"
"66","1979","5","Karnataka","Tumkur","770.8"
"66","1980","5","Karnataka","Tumkur","641.5"
"66","1981","5","Karnataka","Tumkur","757.9"
"66","1982","5","Karnataka","Tumkur","494.0"
"66","1983","5","Karnataka","Tumkur","614.0"
"66","1984","5","Karnataka","Tumkur","587.1"
"66","1985","5","Karnataka","Tumkur","445.7"
"66","1986","5","Karnataka","Tumkur","637.2"
"66","1987","5","Karnataka","Tumkur","687.8"
"66","1988","5","Karnataka","Tumkur","839.3"
"66","1989","5","Karnataka","Tumkur","583.7"
"66","1990","5","Karnataka","Tumkur","550.0"
"66","1991","5","Karnataka","Tumkur","910.0"
"66","1992","5","Karnataka","Tumkur","647.0"
"66","1993","5","Karnataka","Tumkur","600.5"
"66","1994","5","Karnataka","Tumkur","505.2"
"66","1995","5","Karnataka","Tumkur","516.0"
"66","1996","5","Karnataka","Tumkur","684.0"
"66","1997","5","Karnataka","Tumkur","624.0"
"66","1998","5","Karnataka","Tumkur","727.0"
"66","1999","5","Karnataka","Tumkur","651.0"
"66","2000","5","Karnataka","Tumkur","785.0"
"66","2001","5","Karnataka","Tumkur","618.0"
"66","2002","5","Karnataka","Tumkur","521.0"
"66","2003","5","Karnataka","Tumkur","480.0"
"66","2004","5","Karnataka","Tumkur","763.0"
"66","2005","5","Karnataka","Tumkur","1027.0"
