"Dist Code","Year","State Code","State Name","Dist Name","RICE IRRIGATED AREA (1000 ha)","WHEAT IRRIGATED AREA (1000 ha)","KHARIF SORGHUM IRRIGATED AREA (1000 ha)","RABI SORGHUM IRRIGATED AREA (1000 ha)","SORGHUM IRRIGATED AREA (1000 ha)","PEARL MILLET IRRIGATED AREA (1000 ha)","MAIZE IRRIGATED AREA (1000 ha)","FINGER MILLET IRRIGATED AREA (1000 ha)","BARLEY IRRIGATED AREA (1000 ha)","CHICKPEA IRRIGATED AREA (1000 ha)","PIGEONPEA IRRIGATED AREA (1000 ha)","MINOR PULSES IRRIGATED AREA (1000 ha)","PULSES IRRIGATED AREA (1000 ha)","GROUNDNUT IRRIGATED AREA (1000 ha)","SESAMUM IRRIGATED AREA (1000 ha)","LINSEED IRRIGATED AREA (1000 ha)","SUGARCANE IRRIGATED AREA (1000 ha)","COTTON IRRIGATED AREA (1000 ha)","FRUITS AND VEGETABLES IRRIGATED AREA (1000 ha)","FODDER IRRIGATED AREA (1000 ha)"
"64","1966","5","Karnataka","Bangalore","34.6","0.0","0.0","0.0","0.0","0.0","0.2","5.0","0.0","0.0","0.0","0.1","0.1","0.0","0.0","0.0","3.3","0.0","-1.0","-1.0"
"64","1967","5","Karnataka","Bangalore","27.2","0.0","0.1","0.0","0.1","0.0","0.5","2.0","0.0","0.0","0.0","0.6","0.6","0.0","0.0","0.0","2.5","0.0","-1.0","-1.0"
"64","1968","5","Karnataka","Bangalore","35.2","0.4","1.0","0.6","1.6","0.0","5.9","5.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.4","0.0","-1.0","-1.0"
"64","1969","5","Karnataka","Bangalore","35.4","0.8","0.0","0.8","0.8","0.0","4.5","5.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.6","0.0","-1.0","-1.0"
"64","1970","5","Karnataka","Bangalore","43.5","0.1","0.6","0.0","0.6","0.0","11.3","5.5","0.0","0.0","0.0","0.0","0.0","1.9","0.0","0.0","3.8","0.0","7.3","0.06"
"64","1971","5","Karnataka","Bangalore","33.0","0.6","0.1","0.1","0.2","0.0","11.0","24.9","0.0","0.0","0.0","0.0","0.0","0.6","0.0","0.0","3.5","0.0","6.4","0.0"
"64","1972","5","Karnataka","Bangalore","32.4","0.1","0.0","0.0","0.0","0.0","3.7","1.9","0.0","0.0","0.0","0.0","0.0","0.2","0.0","0.0","3.7","0.0","6.3","0.0"
"64","1973","5","Karnataka","Bangalore","33.4","0.0","0.0","0.0","0.0","0.0","4.0","2.6","0.0","0.0","0.0","0.0","0.0","0.2","0.0","0.0","4.8","0.0","6.8","0.0"
"64","1974","5","Karnataka","Bangalore","30.5","0.1","0.0","0.0","0.0","0.0","4.1","2.8","0.0","0.0","0.0","0.0","0.0","0.5","0.0","0.0","4.9","0.0","6.5","0.0"
"64","1975","5","Karnataka","Bangalore","33.4","0.5","0.0","0.1","0.1","0.0","13.4","7.6","0.0","0.3","0.0","0.0","0.3","0.3","0.0","0.0","4.2","0.0","7.8","0.0"
"64","1976","5","Karnataka","Bangalore","19.9","0.5","0.0","0.2","0.2","0.0","10.7","6.1","0.0","0.2","0.0","0.1","0.3","0.0","0.0","0.0","4.1","0.0","9.1","0.0"
"64","1977","5","Karnataka","Bangalore","34.4","0.6","0.2","0.0","0.2","0.0","16.3","12.0","0.0","0.3","0.0","0.6","0.9","2.3","0.0","0.0","4.7","0.0","9.7","0.0"
"64","1978","5","Karnataka","Bangalore","31.9","0.4","0.0","0.0","0.0","0.0","14.1","10.3","0.0","0.3","0.0","1.1","1.4","3.6","0.0","0.0","4.9","0.0","11.3","0.11"
"64","1979","5","Karnataka","Bangalore","34.0","0.2","0.0","0.0","0.0","0.0","10.6","8.0","0.0","0.3","0.1","1.4","1.8","3.2","0.0","0.0","3.6","0.0","13.5","0.0"
"64","1980","5","Karnataka","Bangalore","24.5","0.3","0.0","0.0","0.0","0.0","9.4","7.0","0.0","0.5","0.1","0.9","1.5","1.3","0.0","0.0","3.3","0.0","11.7","0.26"
"64","1981","5","Karnataka","Bangalore","35.1","0.4","0.1","0.1","0.2","0.0","10.8","9.8","0.0","0.2","0.1","1.3","1.6","3.3","0.0","0.0","3.8","0.0","12.4","0.2"
"64","1982","5","Karnataka","Bangalore","26.6","0.3","0.0","0.0","0.0","0.0","5.8","10.6","0.0","0.4","0.2","1.5","2.1","3.1","0.0","0.0","3.5","0.0","13.3","0.28"
"64","1983","5","Karnataka","Bangalore","32.6","0.2","0.0","0.1","0.1","0.0","8.5","11.9","0.0","0.4","0.1","3.7","4.2","7.4","0.0","0.0","3.4","0.0","13.0","0.0"
"64","1984","5","Karnataka","Bangalore","22.9","0.3","0.0","0.1","0.1","0.0","7.8","9.4","0.0","0.9","0.1","1.6","2.6","0.8","0.0","0.0","3.5","0.0","12.9","0.0"
"64","1985","5","Karnataka","Bangalore","15.8","0.1","0.0","0.0","0.0","0.0","5.4","10.2","0.0","0.5","0.2","0.9","1.6","0.7","0.0","0.0","1.9","0.0","11.4","0.28"
"64","1986","5","Karnataka","Bangalore","27.4","0.1","0.0","0.0","0.0","0.0","5.5","12.4","0.0","0.3","0.1","0.5","0.9","2.4","0.0","0.0","1.7","0.0","12.1","0.28"
"64","1987","5","Karnataka","Bangalore","24.9","0.1","0.0","0.0","0.0","0.0","5.1","12.4","0.0","0.6","0.1","1.1","1.8","1.4","0.0","0.0","1.5","0.0","13.9","0.29"
"64","1988","5","Karnataka","Bangalore","35.1","0.0","0.0","0.0","0.0","0.0","5.2","12.1","0.0","0.3","0.2","0.7","1.2","2.3","0.0","0.0","1.6","0.0","16.2","0.29"
"64","1989","5","Karnataka","Bangalore","24.2","0.0","0.0","0.0","0.0","0.0","4.4","12.3","0.0","0.3","0.1","0.9","1.3","1.7","0.0","0.0","1.7","0.0","16.9","0.38"
"64","1990","5","Karnataka","Bangalore","15.19","0.03","0.0","0.0","0.0","0.0","3.01","9.39","0.0","0.4","0.36","0.35","1.11","1.3","0.0","0.0","1.82","0.0","0.0","0.0"
