"Dist Code","Year","State Code","State Name","Dist Name","RICE HARVEST PRICE (Rs per Quintal)","PADDY HARVEST PRICE (Rs per Quintal)","WHEAT HARVEST PRICE (Rs per Quintal)","SORGHUM HARVEST PRICE (Rs per Quintal)","PEARL MILLET HARVEST PRICE (Rs per Quintal)","MAIZE HARVEST PRICE (Rs per Quintal)","FINGER MILLET HARVEST PRICE (Rs per Quintal)","BARLEY HARVEST PRICE (Rs per Quintal)","CHICKPEA HARVEST PRICE (Rs per Quintal)","PIGEONPEA HARVEST PRICE (Rs per Quintal)","GROUNDNUT HARVEST PRICE (Rs per Quintal)","SEASMUM HARVEST PRICE (Rs per Quintal)","RAPE AND MUSTARD HARVEST PRICE (Rs per Quintal)","CASTOR HARVEST PRICE (Rs per Quintal)","LINSEED HARVEST PRICE (Rs per Quintal)","SUGARCANE GUR HARVEST PRICE (Rs per Quintal)","COTTON KAPAS HARVEST PRICE (Rs per Quintal)"
"64","1966","5","Karnataka","Bangalore","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"64","1967","5","Karnataka","Bangalore","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"64","1968","5","Karnataka","Bangalore","-1.0","70.4","-1.0","66.5","-1.0","-1.0","80.2","-1.0","130.8","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"64","1969","5","Karnataka","Bangalore","-1.0","58.6","-1.0","-1.0","-1.0","-1.0","70.5","-1.0","124.8","-1.0","139.6","-1.0","300.9","104.8","-1.0","-1.0","-1.0"
"64","1970","5","Karnataka","Bangalore","-1.0","62.5","-1.0","-1.0","-1.0","-1.0","67.6","-1.0","91.8","-1.0","136.0","176.0","178.8","114.6","-1.0","-1.0","-1.0"
"64","1971","5","Karnataka","Bangalore","-1.0","66.5","-1.0","-1.0","-1.0","-1.0","67.1","-1.0","-1.0","-1.0","112.7","195.3","139.0","117.6","-1.0","95.0","-1.0"
"64","1972","5","Karnataka","Bangalore","-1.0","83.6","-1.0","-1.0","-1.0","-1.0","92.3","-1.0","-1.0","-1.0","155.4","224.0","198.6","194.3","-1.0","110.0","-1.0"
"64","1973","5","Karnataka","Bangalore","-1.0","132.7","-1.0","-1.0","-1.0","-1.0","130.5","-1.0","-1.0","-1.0","236.0","319.1","236.8","265.8","-1.0","115.5","-1.0"
"64","1974","5","Karnataka","Bangalore","-1.0","150.2","-1.0","-1.0","-1.0","-1.0","168.1","-1.0","-1.0","-1.0","228.9","346.7","280.9","192.6","-1.0","150.0","-1.0"
"64","1975","5","Karnataka","Bangalore","-1.0","101.4","-1.0","-1.0","-1.0","77.0","83.8","-1.0","-1.0","-1.0","156.9","315.0","-1.0","122.2","-1.0","-1.0","-1.0"
