"Dist Code","Year","State Code","State Name","Dist Name","CANALS AREA (1000 ha)","TANKS AREA (1000 ha)","TUBE WELLS AREA (1000 ha)","OTHER WELLS AREA (1000 ha)","TOTAL WELLS AREA (1000 ha)","OTHER SOURCES AREA (1000 ha)","NET AREA (1000 ha)","GROSS AREA (1000 ha)"
"64","1966","5","Karnataka","Bangalore","4.1","26.3","0.0","12.14","12.14","2.9","45.4","52.2"
"64","1967","5","Karnataka","Bangalore","5.0","29.4","0.0","12.45","12.45","2.5","49.3","49.4"
"64","1968","5","Karnataka","Bangalore","5.1","29.8","0.0","34.77","34.77","3.2","72.8","77.0"
"64","1969","5","Karnataka","Bangalore","2.8","34.6","0.0","24.82","24.82","2.8","65.0","67.9"
"64","1970","5","Karnataka","Bangalore","3.8","38.4","1.09","45.54","46.63","1.5","91.2","103.6"
"64","1971","5","Karnataka","Bangalore","3.8","38.4","1.09","37.57","38.66","2.0","82.8","91.4"
"64","1972","5","Karnataka","Bangalore","3.3","30.0","0.76","18.35","19.11","1.7","54.1","59.2"
"64","1973","5","Karnataka","Bangalore","2.9","31.4","0.6","19.23","19.83","1.7","55.8","63.4"
"64","1974","5","Karnataka","Bangalore","4.2","34.0","0.55","21.13","21.68","1.4","62.9","62.9"
"64","1975","5","Karnataka","Bangalore","3.8","37.5","0.0","25.68","25.68","2.3","69.3","82.6"
"64","1976","5","Karnataka","Bangalore","1.0","27.3","0.0","27.53","27.53","1.3","57.2","66.0"
"64","1977","5","Karnataka","Bangalore","4.2","37.3","0.0","29.32","29.32","2.5","73.3","97.2"
"64","1978","5","Karnataka","Bangalore","4.9","38.2","0.0","31.51","31.51","3.0","77.5","95.9"
"64","1979","5","Karnataka","Bangalore","5.0","37.0","0.0","32.99","32.99","2.0","77.0","94.0"
"64","1980","5","Karnataka","Bangalore","5.0","36.9","0.0","34.88","34.88","2.7","79.0","80.0"
"64","1981","5","Karnataka","Bangalore","4.6","34.1","0.0","35.36","35.36","2.6","77.0","97.0"
"64","1982","5","Karnataka","Bangalore","3.7","30.5","4.17","29.41","33.58","1.8","70.2","86.0"
"64","1983","5","Karnataka","Bangalore","5.2","34.9","0.0","32.8","32.8","2.2","75.1","102.2"
"64","1984","5","Karnataka","Bangalore","3.7","26.5","0.0","37.07","37.07","2.0","69.3","80.9"
"64","1985","5","Karnataka","Bangalore","1.9","22.5","6.35","27.07","33.42","1.1","59.0","67.9"
"64","1986","5","Karnataka","Bangalore","2.02","28.18","8.75","29.76","38.51","0.74","69.5","84.7"
"64","1987","5","Karnataka","Bangalore","1.54","26.64","9.04","27.86","36.9","1.02","66.1","84.3"
"64","1988","5","Karnataka","Bangalore","1.74","31.02","12.01","32.59","44.6","0.83","78.8","96.0"
"64","1989","5","Karnataka","Bangalore","1.74","29.85","11.92","33.36","45.28","0.83","77.1","87.1"
"64","1990","5","Karnataka","Bangalore","1.5","19.46","17.37","26.96","44.33","0.54","65.84","76.42"
"64","1991","5","Karnataka","Bangalore","2.37","29.48","20.89","25.86","46.75","0.88","79.48","105.64"
"64","1992","5","Karnataka","Bangalore","2.74","23.74","29.02","14.38","43.4","0.54","70.42","87.8"
"64","1993","5","Karnataka","Bangalore","2.79","23.03","38.42","15.77","54.19","1.35","81.35","103.32"
