"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","RICE PRODUCTION (1000 tons)","RICE YIELD (Kg per ha)","WHEAT AREA (1000 ha)","WHEAT PRODUCTION (1000 tons)","WHEAT YIELD (Kg per ha)","KHARIF SORGHUM AREA (1000 ha)","KHARIF SORGHUM PRODUCTION (1000 tons)","KHARIF SORGHUM YIELD (Kg per ha)","RABI SORGHUM AREA (1000 ha)","RABI SORGHUM PRODUCTION (1000 tons)","RABI SORGHUM YIELD (Kg per ha)","SORGHUM AREA (1000 ha)","SORGHUM PRODUCTION (1000 tons)","SORGHUM YIELD (Kg per ha)","PEARL MILLET AREA (1000 ha)","PEARL MILLET PRODUCTION (1000 tons)","PEARL MILLET YIELD (Kg per ha)","MAIZE AREA (1000 ha)","MAIZE PRODUCTION (1000 tons)","MAIZE YIELD (Kg per ha)","FINGER MILLET AREA (1000 ha)","FINGER MILLET PRODUCTION (1000 tons)","FINGER MILLET YIELD (Kg per ha)","BARLEY AREA (1000 ha)","BARLEY PRODUCTION (1000 tons)","BARLEY YIELD (Kg per ha)","CHICKPEA AREA (1000 ha)","CHICKPEA PRODUCTION (1000 tons)","CHICKPEA YIELD (Kg per ha)","PIGEONPEA AREA (1000 ha)","PIGEONPEA PRODUCTION (1000 tons)","PIGEONPEA YIELD (Kg per ha)","MINOR PULSES AREA (1000 ha)","MINOR PULSES PRODUCTION (1000 tons)","MINOR PULSES YIELD (Kg per ha)","GROUNDNUT AREA (1000 ha)","GROUNDNUT PRODUCTION (1000 tons)","GROUNDNUT YIELD (Kg per ha)","SESAMUM AREA (1000 ha)","SESAMUM PRODUCTION (1000 tons)","SESAMUM YIELD (Kg per ha)","RAPESEED AND MUSTARD AREA (1000 ha)","RAPESEED AND MUSTARD PRODUCTION (1000 tons)","RAPESEED AND MUSTARD YIELD (Kg per ha)","SAFFLOWER AREA (1000 ha)","SAFFLOWER PRODUCTION (1000 tons)","SAFFLOWER YIELD (Kg per ha)","CASTOR AREA (1000 ha)","CASTOR PRODUCTION (1000 tons)","CASTOR YIELD (Kg per ha)","LINSEED AREA (1000 ha)","LINSEED PRODUCTION (1000 tons)","LINSEED YIELD (Kg per ha)","SUNFLOWER AREA (1000 ha)","SUNFLOWER PRODUCTION (1000 tons)","SUNFLOWER YIELD (Kg per ha)","SOYABEAN AREA (1000 ha)","SOYABEAN PRODUCTION (1000 tons)","SOYABEAN YIELD (Kg per ha)","OILSEEDS AREA (1000 ha)","OILSEEDS PRODUCTION (1000 tons)","OILSEEDS YIELD (Kg per ha)","SUGARCANE AREA (1000 ha)","SUGARCANE PRODUCTION (1000 tons)","SUGARCANE YIELD (Kg per ha)","COTTON AREA (1000 ha)","COTTON PRODUCTION (1000 tons)","COTTON YIELD (Kg per ha)","FRUITS AREA (1000 ha)","VEGETABLES AREA (1000 ha)","FRUITS AND VEGETABLES AREA (1000 ha)","POTATOES AREA (1000 ha)","ONION AREA (1000 ha)","FODDER AREA (1000 ha)"
"64","1966","5","Karnataka","Bangalore","45.0","65.0","1444.44","0.0","0.0","0.0","2.0","1.0","500.0","0.0","0.0","0.0","2.0","1.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","261.0","153.0","586.21","0.0","0.0","0.0","4.0","4.0","1000.0","8.0","3.0","375.0","42.27","6.77","160.16","9.0","10.1","1122.22","2.9","1.6","551.72","0.7","0.1","142.86","0.71","0.01","14.08","4.1","2.5","609.76","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18.3","19.23","1050.82","3.3","62.9","19060.61","0.0","0.0","0.0","6.39","4.95","11.34","1.79","0.37","5.36"
"64","1967","5","Karnataka","Bangalore","36.0","21.0","583.33","0.0","0.0","0.0","4.0","2.0","500.0","0.0","0.0","0.0","4.0","2.0","500.0","0.0","0.0","0.0","3.0","4.0","1333.33","230.0","172.0","747.83","0.0","0.0","0.0","5.0","2.0","400.0","6.0","2.0","333.33","38.54","6.42","166.58","10.0","5.6","560.0","2.9","0.9","310.34","0.7","0.1","142.86","1.11","0.17","153.15","2.6","0.9","346.15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17.69","6.69","378.18","2.7","52.6","19481.48","0.0","0.0","0.0","5.5","4.15","9.65","1.7","0.59","6.04"
"64","1968","5","Karnataka","Bangalore","35.3","43.0","1218.13","0.4","0.0","0.0","3.3","2.8","848.48","0.6","0.7","1166.67","3.9","3.5","897.44","0.0","0.0","0.0","5.9","26.0","4406.78","225.3","129.0","572.57","0.0","0.0","0.0","2.4","1.0","416.67","4.3","3.0","697.67","41.76","5.82","139.37","9.3","6.0","645.16","2.9","0.8","275.86","1.2","0.3","250.0","0.0","0.0","0.0","2.9","1.8","620.69","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.3","9.62","590.18","3.4","29.5","8676.47","0.0","0.0","0.0","5.37","4.02","9.39","1.59","0.61","6.08"
"64","1969","5","Karnataka","Bangalore","37.3","41.4","1109.92","0.8","1.4","1750.0","0.0","0.0","0.0","1.9","2.2","1157.89","1.9","2.2","1157.89","0.2","0.1","500.0","5.2","21.7","4173.08","222.0","155.7","701.35","0.0","0.0","0.0","0.1","0.0","0.0","4.5","2.4","533.33","45.89","13.94","303.77","10.2","10.1","990.2","3.1","1.3","419.35","1.2","0.3","250.0","0.0","0.0","0.0","3.0","1.5","500.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.41","12.69","773.31","3.8","25.6","6736.84","0.0","0.0","0.0","4.88","3.95","8.82","1.07","0.45","14.3"
"64","1970","5","Karnataka","Bangalore","43.5","63.7","1464.37","0.1","0.2","2000.0","6.0","5.1","850.0","0.0","0.0","0.0","6.0","5.1","850.0","0.0","0.0","0.0","12.1","45.5","3760.33","231.3","175.6","759.19","0.0","0.0","0.0","0.1","0.1","1000.0","4.1","2.9","707.32","45.3","14.92","329.36","11.2","7.6","678.57","3.0","1.2","400.0","0.7","0.2","285.71","0.0","0.0","0.0","3.2","1.4","437.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20.16","10.45","518.35","3.9","32.4","8307.69","0.0","0.0","0.0","6.01","5.5","11.52","0.55","0.22","15.79"
"64","1971","5","Karnataka","Bangalore","36.8","68.5","1861.41","0.6","1.6","2666.67","0.1","0.4","4000.0","0.0","0.0","0.0","0.1","0.4","4000.0","0.0","0.0","0.0","14.2","53.2","3746.48","218.6","191.2","874.66","0.0","0.0","0.0","0.1","0.0","0.0","3.9","2.6","666.67","44.84","19.14","426.85","14.6","13.2","904.11","3.4","1.0","294.12","0.8","0.2","250.0","0.01","0.0","0.0","2.8","2.3","821.43","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","24.72","18.2","736.25","3.5","33.2","9485.71","0.0","0.0","0.0","5.68","4.53","10.21","0.77","0.05","15.18"
"64","1972","5","Karnataka","Bangalore","37.3","76.7","2056.3","0.1","0.1","1000.0","0.2","0.5","2500.0","0.1","0.2","2000.0","0.3","0.7","2333.33","0.0","0.0","0.0","7.1","28.2","3971.83","217.9","177.0","812.3","0.0","0.0","0.0","0.2","0.0","0.0","4.0","2.7","675.0","42.95","17.27","402.1","16.4","13.1","798.78","2.5","1.1","440.0","0.7","0.4","571.43","0.0","0.0","0.0","2.9","1.4","482.76","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","25.33","16.04","633.24","3.7","37.9","10243.24","0.0","0.0","0.0","6.22","4.75","10.97","0.68","0.08","15.1"
"64","1973","5","Karnataka","Bangalore","37.8","78.4","2074.07","0.4","0.9","2250.0","0.2","0.4","2000.0","0.6","1.9","3166.67","0.8","2.3","2875.0","0.0","0.0","0.0","8.9","28.0","3146.07","206.8","149.1","720.99","0.0","0.0","0.0","0.3","0.1","333.33","3.9","2.1","538.46","51.23","16.64","324.81","19.2","16.1","838.54","2.5","0.5","200.0","0.9","0.3","333.33","0.0","0.0","0.0","3.0","1.2","400.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","27.47","17.57","639.61","4.9","40.9","8346.94","0.0","0.0","0.0","6.47","5.1","11.57","0.75","0.07","14.08"
"64","1974","5","Karnataka","Bangalore","36.1","61.8","1711.91","0.5","1.1","2200.0","0.6","1.5","2500.0","0.0","0.0","0.0","0.6","1.5","2500.0","0.0","0.0","0.0","9.3","30.5","3279.57","205.9","166.9","810.59","0.0","0.0","0.0","0.4","0.2","500.0","4.3","3.0","697.67","51.17","19.91","389.1","21.5","19.1","888.37","1.0","0.1","100.0","0.8","0.3","375.0","0.0","0.0","0.0","3.1","1.5","483.87","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","30.16","22.15","734.42","5.0","30.4","6080.0","0.0","0.0","0.0","6.97","5.2","12.16","0.75","0.05","14.08"
"64","1975","5","Karnataka","Bangalore","37.3","66.8","1790.88","0.6","0.7","1166.67","0.5","1.0","2000.0","0.0","0.0","0.0","0.5","1.0","2000.0","0.0","0.0","0.0","19.1","63.7","3335.08","210.1","196.7","936.22","0.0","0.0","0.0","0.3","0.1","333.33","4.1","3.2","780.49","48.28","19.04","394.37","19.5","15.0","769.23","1.1","0.8","727.27","1.2","0.4","333.33","0.0","0.0","0.0","2.7","1.6","592.59","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","28.13","18.33","651.62","4.6","30.2","6565.22","0.0","0.0","0.0","7.17","5.12","12.29","0.7","0.05","15.35"
